id,value
Product_Title,
Product_Title.AXE 2 in ,
Product_Title.AXE 2 in .one_Purchased_Title,
Product_Title.AXE 2 in .one_Purchased_Title.Listerine,1
Product_Title.AXE 2 in .three_Purchased_Title,
Product_Title.AXE 2 in .three_Purchased_Title.Angel Sof,1
Product_Title.AXE 2 in .two_Purchased_Title,
Product_Title.AXE 2 in .two_Purchased_Title.Old Spice,1
Product_Title.AXE 3 in ,
Product_Title.AXE 3 in .one_Purchased_Title,
Product_Title.AXE 3 in .one_Purchased_Title.AXE Body ,1
Product_Title.AXE 3 in .three_Purchased_Title,
Product_Title.AXE 3 in .three_Purchased_Title.Bounce Fa,1
Product_Title.AXE 3 in .two_Purchased_Title,
Product_Title.AXE 3 in .two_Purchased_Title.Qtips Cot,1
Product_Title.AXE 3in1 ,
Product_Title.AXE 3in1 .one_Purchased_Title,
Product_Title.AXE 3in1 .one_Purchased_Title.AXE Body ,1
Product_Title.AXE 3in1 .three_Purchased_Title,
Product_Title.AXE 3in1 .three_Purchased_Title.AXE Deodo,1
Product_Title.AXE 3in1 .two_Purchased_Title,
Product_Title.AXE 3in1 .two_Purchased_Title.AXE Clean,1
Product_Title.AXE AntiD,
Product_Title.AXE AntiD.one_Purchased_Title,
Product_Title.AXE AntiD.one_Purchased_Title.Barilla P,1
Product_Title.AXE AntiD.one_Purchased_Title.Muir Glen,1
Product_Title.AXE AntiD.three_Purchased_Title,
Product_Title.AXE AntiD.three_Purchased_Title.AXE Body ,1
Product_Title.AXE AntiD.three_Purchased_Title.Secret Cl,1
Product_Title.AXE AntiD.two_Purchased_Title,
Product_Title.AXE AntiD.two_Purchased_Title.AXE Body ,1
Product_Title.AXE AntiD.two_Purchased_Title.Glad Clin,1
Product_Title.AXE Antip,
Product_Title.AXE Antip.one_Purchased_Title,
Product_Title.AXE Antip.one_Purchased_Title.AXE Body ,1
Product_Title.AXE Antip.one_Purchased_Title.AXE White,1
Product_Title.AXE Antip.one_Purchased_Title.Gold Toe ,1
Product_Title.AXE Antip.one_Purchased_Title.Latin Ver,1
Product_Title.AXE Antip.one_Purchased_Title.Organic G,1
Product_Title.AXE Antip.one_Purchased_Title.PEDIGREE ,1
Product_Title.AXE Antip.one_Purchased_Title.Qtips Cot,1
Product_Title.AXE Antip.three_Purchased_Title,
Product_Title.AXE Antip.three_Purchased_Title.A Little ,1
Product_Title.AXE Antip.three_Purchased_Title.AXE Body ,1
Product_Title.AXE Antip.three_Purchased_Title.Cascade P,1
Product_Title.AXE Antip.three_Purchased_Title.CloSYS Or,1
Product_Title.AXE Antip.three_Purchased_Title.Fire and ,1
Product_Title.AXE Antip.three_Purchased_Title.Gillette ,1
Product_Title.AXE Antip.three_Purchased_Title.Lime  One,1
Product_Title.AXE Antip.three_Purchased_Title.Neutrogen,1
Product_Title.AXE Antip.three_Purchased_Title.Rice Kris,1
Product_Title.AXE Antip.three_Purchased_Title.nan,1
Product_Title.AXE Antip.two_Purchased_Title,
Product_Title.AXE Antip.two_Purchased_Title.AXE Body ,1
Product_Title.AXE Antip.two_Purchased_Title.Angel Sof,1
Product_Title.AXE Antip.two_Purchased_Title.Axe Anti ,1
Product_Title.AXE Antip.two_Purchased_Title.Bananas  ,1
Product_Title.AXE Antip.two_Purchased_Title.Crest Com,1
Product_Title.AXE Antip.two_Purchased_Title.Groganics,1
Product_Title.AXE Antip.two_Purchased_Title.Neosporin,1
Product_Title.AXE Antip.two_Purchased_Title.The Danis,1
Product_Title.AXE Antip.two_Purchased_Title.nan,1
Product_Title.AXE Body ,
