"id,value,"
"Product_Title,"
"Product_Title.Suave Prof,"
"Product_Title.Suave Prof.one_Purchased_Title,"
"Product_Title.Suave Prof.one_Purchased_Title.DenTek Tri,1"
"Product_Title.Suave Prof.two_Purchased_Title,"
"Product_Title.Suave Prof.two_Purchased_Title.Hidden Val,1"
"Product_Title.Suave Prof.three_Purchased_Title,"
"Product_Title.Suave Prof.three_Purchased_Title.Mrs. Meyer,1"
"Product_Title.Knorr Butt,"
"Product_Title.Knorr Butt.one_Purchased_Title,"
"Product_Title.Knorr Butt.one_Purchased_Title.Knorr Ital,1"
"Product_Title.Knorr Butt.two_Purchased_Title,"
"Product_Title.Knorr Butt.two_Purchased_Title.Stroehmann,1"
"Product_Title.Knorr Butt.three_Purchased_Title,"
"Product_Title.Knorr Butt.three_Purchased_Title.Red Raspbe,1"
"Product_Title.Vaseline I,"
"Product_Title.Vaseline I.one_Purchased_Title,"
"Product_Title.Vaseline I.one_Purchased_Title.Bananas, 1,1"
"Product_Title.Vaseline I.two_Purchased_Title,"
"Product_Title.Vaseline I.two_Purchased_Title.Organic Ro,1"
"Product_Title.Vaseline I.three_Purchased_Title,"
"Product_Title.Vaseline I.three_Purchased_Title.Organic Ga,1"
"Product_Title.Pond's Col,"
"Product_Title.Pond's Col.one_Purchased_Title,"
"Product_Title.Pond's Col.one_Purchased_Title.Bananas, 1,1"
"Product_Title.Pond's Col.two_Purchased_Title,"
"Product_Title.Pond's Col.two_Purchased_Title.Lipton Bla,1"
"Product_Title.Pond's Col.three_Purchased_Title,"
"Product_Title.Pond's Col.three_Purchased_Title.Celery, Me,1"
"Product_Title.Lipton Noo,"
"Product_Title.Lipton Noo.one_Purchased_Title,"
"Product_Title.Lipton Noo.one_Purchased_Title.Bananas, 1,1"
"Product_Title.Lipton Noo.two_Purchased_Title,"
"Product_Title.Lipton Noo.two_Purchased_Title.Organic Ba,1"
"Product_Title.Lipton Noo.three_Purchased_Title,"
"Product_Title.Lipton Noo.three_Purchased_Title.Organic Va,1"
"Product_Title.Lipton, Ic,"
"Product_Title.Lipton, Ic.one_Purchased_Title,"
"Product_Title.Lipton, Ic.one_Purchased_Title.Organic Gr,1"
"Product_Title.Lipton, Ic.two_Purchased_Title,"
"Product_Title.Lipton, Ic.two_Purchased_Title.Weiman Gla,1"
"Product_Title.Lipton, Ic.three_Purchased_Title,"
"Product_Title.Lipton, Ic.three_Purchased_Title.Lime, One ,1"
"Product_Title.Suave Esse,"
"Product_Title.Suave Esse.one_Purchased_Title,"
"Product_Title.Suave Esse.one_Purchased_Title.Suave Esse,1"
"Product_Title.Suave Esse.two_Purchased_Title,"
"Product_Title.Suave Esse.two_Purchased_Title.Mrs. Meyer,1"
"Product_Title.Suave Esse.three_Purchased_Title,"
"Product_Title.Suave Esse.three_Purchased_Title.Mrs. Meyer,1"
"Product_Title.Dove Nutri,"
